"","SPECIES","DATASET_CLASSIFICATION","GENERA","EPITHET","FAMILY","PHYLUM","EPILIST","EPIPHYTE_FLORA","HEMIEPIPHYTE_FLORA","RUPICOLOUS_FLORA","TERRESTRIAL_FLORA","UNKNOWN_FLORA","DOMAIN_Caatinga","DOMAIN_Cerrado","DOMAIN_Chaco","DOMAIN_Pantanal","COUNTRY_Argentina","COUNTRY_Bolivia","COUNTRY_Brazil","COUNTRY_Paraguay","WWF_ECOREGION","SUGGESTED_CLASSIFICATION"
"918","Rhipsalis lindbergiana","Online, Paper","Rhipsalis","lindbergiana","Cactaceae","Angiospermae","Epiphyte",1,0,0,0,0,1,1,0,0,0,0,1,0,"1, 6, 8, 10, 15","Epiphyte"
"919","Rhipsalis lorentziana","Online","Rhipsalis","lorentziana","Cactaceae","Angiospermae","Epiphyte",0,0,0,0,1,0,0,1,0,1,0,0,0,"3","Epiphyte"
"920","Rhipsalis pentaptera","Online","Rhipsalis","pentaptera","Cactaceae","Angiospermae","Epiphyte",1,0,1,0,0,0,0,1,0,1,0,0,0,"3","Facultative"
"921","Rhipsalis pilocarpa","Online","Rhipsalis","pilocarpa","Cactaceae","Angiospermae","Epiphyte",1,0,0,0,0,0,1,1,0,1,0,1,0,"1, 12","Epiphyte"
"922","Rhipsalis puniceodiscus","Online","Rhipsalis","puniceodiscus","Cactaceae","Angiospermae","Epiphyte",1,0,0,0,0,0,1,0,0,0,0,1,0,"1","Epiphyte"
"923","Rhipsalis russellii","Online","Rhipsalis","russellii","Cactaceae","Angiospermae","Epiphyte",1,0,1,0,0,1,1,0,0,0,0,1,0,"1, 6, 8, 9, 10","Facultative"
"924","Rhipsalis shaferi","Online, Paper","Rhipsalis","shaferi","Cactaceae","Angiospermae","Missing",1,0,0,0,0,0,1,1,0,1,0,1,1,"1, 12","Epiphyte (local database)"
"925","Rhipsalis sp.1","Paper","Rhipsalis",NA,"Cactaceae","Angiospermae",NA,0,0,0,0,0,0,1,0,0,0,0,1,0,"1",NA
"926","Rhipsalis sp.2","Paper","Rhipsalis",NA,"Cactaceae","Angiospermae",NA,0,0,0,0,0,1,0,0,0,0,0,1,0,"8",NA
"927","Rodriguezia bahiensis","Online","Rodriguezia","bahiensis","Orchidaceae","Angiospermae","Epiphyte",1,0,0,0,0,1,0,0,0,0,0,1,0,"8","Epiphyte"
"928","Rodriguezia brachystachys","Online","Rodriguezia","brachystachys","Orchidaceae","Angiospermae","Epiphyte",1,0,0,0,0,0,1,0,0,0,0,1,0,"1","Epiphyte"
"929","Rodriguezia bracteata","Online","Rodriguezia","bracteata","Orchidaceae","Angiospermae","Epiphyte",1,0,0,0,0,1,0,0,0,0,0,1,0,"8","Epiphyte"
"930","Rodriguezia decora","Online, Paper","Rodriguezia","decora","Orchidaceae","Angiospermae","Epiphyte",1,0,0,0,0,0,1,0,0,0,0,1,0,"1, 18","Epiphyte"
"931","Rodriguezia lanceolata","Online, Paper","Rodriguezia","lanceolata","Orchidaceae","Angiospermae","Epiphyte",1,0,0,0,0,0,1,0,0,0,0,1,0,"1","Epiphyte"
"932","Rodriguezia obtusifolia","Online","Rodriguezia","obtusifolia","Orchidaceae","Angiospermae","Epiphyte",1,0,0,0,0,1,0,0,0,0,0,1,0,"8, 10","Epiphyte"
"933","Rodriguezia sp.","Paper","Rodriguezia",NA,"Orchidaceae","Angiospermae",NA,0,0,0,0,0,0,1,0,0,0,0,1,0,"1",NA
"934","Rumohra adiantiformis","Online, Paper","Rumohra","adiantiformis","Dryopteridaceae","Pteridophyte","Epiphyte",1,0,1,1,0,1,1,1,1,1,0,1,1,"1, 5, 6, 7, 8, 9, 10, 12, 13, 21","Facultative"
"935","Sanderella discolor","Online, Paper","Sanderella","discolor","Orchidaceae","Angiospermae","Epiphyte",1,0,0,0,0,1,1,1,0,1,0,1,0,"1, 3, 4, 5, 8","Epiphyte"
"936","Sansonia bradei","Online","Sansonia","bradei","Orchidaceae","Angiospermae","Epiphyte",1,0,0,0,0,0,1,0,0,0,0,1,0,"1","Epiphyte"
"937","Scaphyglottis fusiformis","Online","Scaphyglottis","fusiformis","Orchidaceae","Angiospermae","Epiphyte",1,0,1,0,0,1,0,0,0,0,0,1,0,"8, 13, 14","Facultative"
"938","Scaphyglottis livida","Online, Paper","Scaphyglottis","livida","Orchidaceae","Angiospermae","Epiphyte",1,0,0,0,0,1,1,0,0,0,0,1,0,"1, 13","Epiphyte"
"939","Scaphyglottis modesta","Online, Paper","Scaphyglottis","modesta","Orchidaceae","Angiospermae","Epiphyte",1,0,1,0,0,1,1,0,0,0,0,1,0,"1, 8, 9, 10","Facultative"
"940","Scaphyglottis prolifera","Online, Paper","Scaphyglottis","prolifera","Orchidaceae","Angiospermae","Epiphyte",1,0,0,0,0,1,1,0,0,0,0,1,0,"1, 2, 8, 13","Epiphyte"
"941","Scaphyglottis sickii","Online","Scaphyglottis","sickii","Orchidaceae","Angiospermae","Epiphyte",1,0,0,0,0,1,1,0,0,0,0,1,0,"1, 8, 14","Epiphyte"
"942","Schwartzia brasiliensis","Online","Schwartzia","brasiliensis","Marcgraviaceae","Angiospermae","Hemiepiphyte",0,1,0,1,0,1,1,0,0,0,0,1,0,"1, 8, 10, 14, 15","Facultative"
"943","Scuticaria bahiensis","Online","Scuticaria","bahiensis","Orchidaceae","Angiospermae","Epiphyte",1,0,0,0,0,1,0,0,0,0,0,1,0,"8","Epiphyte"
"944","Scuticaria hadwenii","Online","Scuticaria","hadwenii","Orchidaceae","Angiospermae","Epiphyte",1,0,0,0,0,0,1,0,0,0,0,1,0,"1","Epiphyte"
"945","Scuticaria irwiniana","Online","Scuticaria","irwiniana","Orchidaceae","Angiospermae","Epiphyte",0,0,1,0,0,0,1,0,0,0,0,1,0,"6","Facultative"
"946","Sebastiania sp.","Paper","Sebastiania",NA,"Euphorbiaceae","Angiospermae",NA,0,0,0,0,0,1,0,0,0,0,0,1,0,"8",NA
"947","Selaginella asperula","Online","Selaginella","asperula","Selaginellaceae","Pteridophyte","Epiphyte",0,0,1,1,0,1,1,0,0,0,0,1,0,"1, 8, 10","Facultative"
"948","Selaginella contigua","Online","Selaginella","contigua","Selaginellaceae","Pteridophyte","Epiphyte",0,0,1,1,0,0,1,0,0,0,0,1,0,"1","Facultative"
"949","Selaginella erythropus","Online","Selaginella","erythropus","Selaginellaceae","Pteridophyte","Missing",1,0,0,1,0,1,1,1,1,0,0,1,1,"1, 2, 6, 7, 8, 11, 12, 13, 17","Facultative"
"950","Selaginella flagellata","Online","Selaginella","flagellata","Selaginellaceae","Pteridophyte","Missing",1,0,1,1,0,1,1,0,0,0,0,1,0,"1, 8","Facultative"
"951","Selaginella flexuosa","Online","Selaginella","flexuosa","Selaginellaceae","Pteridophyte","Epiphyte",1,0,1,1,0,1,1,0,1,0,0,1,0,"1, 6, 7, 8, 9","Facultative"
"952","Selaginella muscosa","Online","Selaginella","muscosa","Selaginellaceae","Pteridophyte","Epiphyte",0,0,1,1,0,1,1,1,1,0,0,1,1,"1, 6, 7, 8, 9, 10, 12, 13, 14, 18","Facultative"
"953","Selaginella producta","Online","Selaginella","producta","Selaginellaceae","Pteridophyte","Epiphyte",0,0,1,1,0,1,1,0,0,0,0,1,0,"1, 6, 8, 14","Facultative"
"954","Selaginella saltuicola","Online","Selaginella","saltuicola","Selaginellaceae","Pteridophyte","Missing",1,0,1,0,0,0,1,0,0,0,0,1,0,"1","Facultative"
"955","Selenicereus anthonyanus","Online","Selenicereus","anthonyanus","Cactaceae","Angiospermae","Epiphyte",1,0,0,0,0,1,1,0,0,0,0,1,0,"1, 8","Epiphyte"
"956","Selenicereus setaceus","Online, Paper","Selenicereus","setaceus","Cactaceae","Angiospermae","Epiphyte",0,1,1,1,0,1,1,1,1,1,0,1,1,"1, 6, 8, 10, 11, 12, 13, 14, 15","Facultative"
"957","Serjania sp.","Paper","Serjania",NA,"Sapindaceae","Angiospermae",NA,0,0,0,0,0,1,0,0,0,0,0,1,0,"8",NA
"958","Serpocaulon adnatum","Online","Serpocaulon","adnatum","Polypodiaceae","Pteridophyte","Epiphyte",1,0,0,0,0,1,1,0,0,0,0,1,0,"8, 18","Epiphyte"
"959","Serpocaulon catharinae","Online, Paper","Serpocaulon","catharinae","Polypodiaceae","Pteridophyte","Epiphyte",1,0,1,0,0,1,1,1,0,0,0,1,1,"1, 6, 8, 9, 10, 12, 14, 18, 20","Facultative"
"960","Serpocaulon fraxinifolium","Online, Paper","Serpocaulon","fraxinifolium","Polypodiaceae","Pteridophyte","Epiphyte",1,1,0,0,0,1,1,1,0,1,0,1,0,"1, 5, 6, 8, 9, 10, 18","Epiphyte/Hemiepiphyte"
"961","Serpocaulon gilliesii","Online, Paper","Serpocaulon","gilliesii","Polypodiaceae","Pteridophyte","Epiphyte",0,0,0,0,1,0,0,1,0,1,0,0,0,"3, 4, 5","Epiphyte"
"962","Serpocaulon laetum","Online","Serpocaulon","laetum","Polypodiaceae","Pteridophyte","Epiphyte",0,1,0,1,0,0,1,1,0,0,0,1,1,"1, 6, 9, 12","Facultative"
"963","Serpocaulon lasiopus","Online","Serpocaulon","lasiopus","Polypodiaceae","Pteridophyte","Epiphyte",0,0,0,0,1,0,1,1,0,1,0,1,0,"1, 4, 5","Epiphyte"
"964","Serpocaulon latipes","Online, Paper","Serpocaulon","latipes","Polypodiaceae","Pteridophyte","Epiphyte",0,0,0,1,0,1,1,1,1,1,0,1,1,"1, 3, 6, 7, 8, 9, 10, 11, 12, 18, 20","Facultative"
"965","Serpocaulon loriceum","Online","Serpocaulon","loriceum","Polypodiaceae","Pteridophyte","Epiphyte",1,0,0,0,0,0,1,1,0,1,0,1,1,"1, 5, 9, 12","Epiphyte"
"966","Serpocaulon menisciifolium","Online","Serpocaulon","menisciifolium","Polypodiaceae","Pteridophyte","Epiphyte",1,0,1,0,0,0,1,0,0,0,0,1,0,"1","Facultative"
"967","Serpocaulon mexiae","Online","Serpocaulon","mexiae","Polypodiaceae","Pteridophyte","Epiphyte",0,0,1,1,0,0,1,0,0,0,0,1,0,"1","Facultative"
"968","Serpocaulon sp.","Paper","Serpocaulon",NA,"Polypodiaceae","Pteridophyte",NA,0,0,0,0,0,1,0,0,0,0,0,1,0,"8",NA
"969","Serpocaulon triseriale","Online, Paper","Serpocaulon","triseriale","Polypodiaceae","Pteridophyte","Epiphyte",0,0,1,1,0,1,1,0,0,0,0,1,0,"1, 2, 6, 8, 9, 10, 13, 14, 15, 18","Facultative"
"970","Serpocaulon vacillans","Online, Paper","Serpocaulon","vacillans","Polypodiaceae","Pteridophyte","Epiphyte",0,0,1,1,0,0,1,1,1,0,0,1,1,"1, 7, 9, 12, 18","Facultative"
"971","Sida sp.","Paper","Sida",NA,"Malvaceae","Angiospermae",NA,0,0,0,0,0,1,0,0,0,0,0,1,0,"8",NA
"972","Sinningia sp.","Paper","Sinningia",NA,"Gesneriaceae","Angiospermae",NA,0,0,0,0,0,0,1,0,0,0,0,1,0,"1",NA
"973","Sobralia sessilis","Online","Sobralia","sessilis","Orchidaceae","Angiospermae","Missing",1,0,1,1,0,1,1,0,0,0,0,1,0,"1, 8, 10, 15","Facultative"
"974","Solandra grandiflora","Online","Solandra","grandiflora","Solanaceae","Angiospermae","Epiphyte",0,1,1,1,0,1,1,0,0,0,0,1,0,"1, 8, 13","Facultative"
"975","Solanum sp.1","Paper","Solanum",NA,"Solanaceae","Angiospermae",NA,0,0,0,0,0,1,0,0,0,0,0,1,0,"6",NA
"976","Solanum sp.2","Paper","Solanum",NA,"Solanaceae","Angiospermae",NA,0,0,0,0,0,1,0,0,0,0,0,1,0,"6",NA
"977","Solenidium lunatum","Paper","Solenidium","lunatum","Orchidaceae","Angiospermae","Epiphyte",1,0,0,0,0,0,1,0,0,0,0,1,0,"1","Epiphyte"
"978","Souroubea guianensis","Online","Souroubea","guianensis","Marcgraviaceae","Angiospermae","Hemiepiphyte",0,1,0,0,0,1,1,0,0,0,0,1,0,"1, 8, 14","Hemiepiphyte"
"979","Specklinia grobyi","Online, Paper","Specklinia","grobyi","Orchidaceae","Angiospermae","Epiphyte",1,0,0,0,0,1,1,0,0,0,0,1,0,"1, 8, 10","Epiphyte"
"980","Specklinia marginalis","Online","Specklinia","marginalis","Orchidaceae","Angiospermae","Missing",1,0,0,0,0,1,1,0,0,0,0,1,0,"1, 6, 9, 10","Epiphyte (local database)"
"981","Stanhopea lietzei","Online","Stanhopea","lietzei","Orchidaceae","Angiospermae","Epiphyte",1,0,0,0,0,0,1,1,0,1,0,1,0,"1, 5, 9","Epiphyte"
"982","Stelis aprica","Online","Stelis","aprica","Orchidaceae","Angiospermae","Epiphyte",1,0,0,0,0,1,1,0,0,0,0,1,0,"8, 9, 13","Epiphyte"
"983","Stelis argentata","Online","Stelis","argentata","Orchidaceae","Angiospermae","Epiphyte",1,0,0,0,0,0,1,0,0,0,0,1,0,"9","Epiphyte"
"984","Stelis intermedia","Online","Stelis","intermedia","Orchidaceae","Angiospermae","Epiphyte",1,0,0,0,0,0,1,0,0,0,0,1,0,"1, 6","Epiphyte"
"985","Stelis parvula","Online","Stelis","parvula","Orchidaceae","Angiospermae","Epiphyte",1,0,0,0,0,1,0,0,0,0,0,1,0,"8, 10","Epiphyte"
"986","Stenorrhynchos speciosum","Online","Stenorrhynchos","speciosum","Orchidaceae","Angiospermae","Epiphyte",0,0,0,0,0,0,0,1,0,0,0,0,1,"5","Facultative"
"987","Stenospermation spruceanum","Online","Stenospermation","spruceanum","Araceae","Angiospermae","Epiphyte",1,1,0,0,0,1,0,0,0,0,0,1,0,"8","Epiphyte/Hemiepiphyte"
"988","Thoracocarpus bissectus","Online","Thoracocarpus","bissectus","Cyclanthaceae","Pteridophyte","Epiphyte",0,1,0,0,0,1,1,0,0,0,0,1,0,"1, 8","Epiphyte/Hemiepiphyte"
"989","Thysanoglossa organensis","Online","Thysanoglossa","organensis","Orchidaceae","Angiospermae","Epiphyte",1,0,0,0,0,0,1,0,0,0,0,1,0,"9","Epiphyte"
"990","Tillandsia aeranthos","Online","Tillandsia","aeranthos","Bromeliaceae","Angiospermae","Epiphyte",1,0,1,0,0,0,1,1,0,1,0,1,1,"1, 3, 5, 12","Facultative"
"991","Tillandsia aizoides","Online, Paper","Tillandsia","aizoides","Bromeliaceae","Angiospermae","Epiphyte",0,0,0,0,1,0,0,1,0,1,0,0,0,"3, 5, 12, 23","Epiphyte"
"992","Tillandsia albertiana","Online","Tillandsia","albertiana","Bromeliaceae","Angiospermae","Epiphyte",0,0,0,0,1,0,0,1,0,1,0,0,0,"3, 5","Epiphyte"
"993","Tillandsia andicola","Online","Tillandsia","andicola","Bromeliaceae","Angiospermae","Epiphyte",0,0,0,0,1,0,0,1,0,1,0,0,0,"5","Epiphyte"
"994","Tillandsia angulosa","Online","Tillandsia","angulosa","Bromeliaceae","Angiospermae","Epiphyte",0,0,0,0,1,0,0,1,0,1,0,0,0,"23","Epiphyte"
"995","Tillandsia argentina","Online","Tillandsia","argentina","Bromeliaceae","Angiospermae","Epiphyte",0,0,0,0,1,0,0,1,0,1,0,0,0,"3, 5, 21, 23","Epiphyte"
"996","Tillandsia bandensis","Online, Paper","Tillandsia","bandensis","Bromeliaceae","Angiospermae","Epiphyte",0,0,1,0,0,0,1,1,0,1,0,0,1,"1, 3, 5, 12, 19, 21, 23","Facultative"
"997","Tillandsia bulbosa","Online","Tillandsia","bulbosa","Bromeliaceae","Angiospermae","Epiphyte",1,0,0,0,0,1,1,0,0,0,0,1,0,"1, 8, 14, 15","Epiphyte"
"998","Tillandsia caliginosa","Online","Tillandsia","caliginosa","Bromeliaceae","Angiospermae","Epiphyte",0,0,0,0,1,0,0,1,0,1,0,0,0,"3, 5","Epiphyte"
"999","Tillandsia castellanii","Online","Tillandsia","castellanii","Bromeliaceae","Angiospermae","Epiphyte",0,0,0,0,1,0,0,1,0,1,0,0,0,"3, 5","Epiphyte"
"1000","Tillandsia catimbauensis","Online, Paper","Tillandsia","catimbauensis","Bromeliaceae","Angiospermae","Epiphyte",0,0,1,0,0,1,0,0,0,0,0,1,0,"8","Facultative"
"1001","Tillandsia copynii","Online","Tillandsia","copynii","Bromeliaceae","Angiospermae","Epiphyte",1,0,0,0,0,0,1,0,0,0,0,1,0,"1","Epiphyte"
"1002","Tillandsia diaguitensis","Online, Paper","Tillandsia","diaguitensis","Bromeliaceae","Angiospermae","Epiphyte",0,0,0,0,1,0,0,1,0,1,0,0,1,"5, 12","Epiphyte"
"1003","Tillandsia didisticha","Online, Paper","Tillandsia","didisticha","Bromeliaceae","Angiospermae","Epiphyte",1,0,1,0,0,1,1,1,1,1,1,1,1,"1, 3, 5, 7, 8, 10, 11, 12, 18","Facultative"
"1004","Tillandsia dura","Online","Tillandsia","dura","Bromeliaceae","Angiospermae","Epiphyte",1,0,0,0,0,0,1,0,1,0,0,1,0,"1, 7","Epiphyte"
"1005","Tillandsia duratii","Online, Paper","Tillandsia","duratii","Bromeliaceae","Angiospermae","Epiphyte",1,0,0,0,0,1,1,1,1,1,1,1,1,"1, 3, 5, 7, 8, 11, 12, 19, 21, 23","Epiphyte"
"1006","Tillandsia funebris","Online, Paper","Tillandsia","funebris","Bromeliaceae","Angiospermae","Epiphyte",0,0,0,0,1,0,0,1,0,1,1,0,1,"3, 5, 12","Epiphyte"
"1007","Tillandsia gardneri","Online, Paper","Tillandsia","gardneri","Bromeliaceae","Angiospermae","Epiphyte",1,0,1,0,0,1,1,0,0,0,0,1,0,"1, 6, 8, 9, 10, 13, 14, 15, 18","Facultative"
"1008","Tillandsia geminiflora","Online, Paper","Tillandsia","geminiflora","Bromeliaceae","Angiospermae","Epiphyte",1,0,0,0,0,1,1,1,0,0,0,1,0,"1, 6, 8, 9, 10, 12, 15, 18","Epiphyte"
"1009","Tillandsia gilliesii","Online","Tillandsia","gilliesii","Bromeliaceae","Angiospermae","Epiphyte",1,0,0,0,0,0,0,1,0,1,0,0,0,"5, 23","Epiphyte"
"1010","Tillandsia globosa","Online, Paper","Tillandsia","globosa","Bromeliaceae","Angiospermae","Epiphyte",1,0,0,0,0,1,0,0,0,0,0,1,0,"6, 8","Epiphyte"
"1011","Tillandsia heliconioides","Online","Tillandsia","heliconioides","Bromeliaceae","Angiospermae","Missing",1,0,0,0,0,0,1,0,0,0,0,1,0,"1","Epiphyte (local database)"
"1012","Tillandsia heubergeri","Online","Tillandsia","heubergeri","Bromeliaceae","Angiospermae","Epiphyte",0,0,1,0,0,1,0,0,0,0,0,1,0,"6, 8, 10","Facultative"
"1013","Tillandsia ixioides","Online, Paper","Tillandsia","ixioides","Bromeliaceae","Angiospermae","Epiphyte",1,0,1,0,0,0,0,1,0,1,0,0,1,"3, 5, 12, 19, 21","Facultative"
"1014","Tillandsia jucunda","Online","Tillandsia","jucunda","Bromeliaceae","Angiospermae","Epiphyte",0,0,0,0,1,0,0,1,0,1,0,0,0,"3, 5","Epiphyte"
"1015","Tillandsia juncea","Online, Paper","Tillandsia","juncea","Bromeliaceae","Angiospermae","Epiphyte",1,0,0,1,0,1,1,0,0,0,0,1,0,"1, 6, 8, 13, 14, 15","Facultative"
"1016","Tillandsia kegeliana","Online","Tillandsia","kegeliana","Bromeliaceae","Angiospermae","Epiphyte",1,0,0,0,0,1,0,0,0,0,0,1,0,"8","Epiphyte"
"1017","Tillandsia linearis","Online","Tillandsia","linearis","Bromeliaceae","Angiospermae","Epiphyte",1,0,0,0,0,0,1,0,0,0,0,1,0,"1","Epiphyte"
"1018","Tillandsia loliacea","Online, Paper","Tillandsia","loliacea","Bromeliaceae","Angiospermae","Epiphyte",1,0,1,0,0,1,1,1,1,1,1,1,1,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 18, 19","Facultative"
"1019","Tillandsia longifolia","Online","Tillandsia","longifolia","Bromeliaceae","Angiospermae","Epiphyte",0,0,1,0,0,1,0,0,0,0,0,1,0,"8","Facultative"
"1020","Tillandsia lorentziana","Online, Paper","Tillandsia","lorentziana","Bromeliaceae","Angiospermae","Epiphyte",1,0,1,0,0,1,1,1,1,1,1,1,1,"1, 3, 5, 7, 8, 10, 12, 21, 23","Facultative"
"1021","Tillandsia mallemontii","Online","Tillandsia","mallemontii","Bromeliaceae","Angiospermae","Epiphyte",1,0,0,0,0,1,1,0,0,0,0,1,0,"1, 8","Epiphyte"
"1022","Tillandsia milagrensis","Online","Tillandsia","milagrensis","Bromeliaceae","Angiospermae","Epiphyte",0,0,1,0,0,1,0,0,0,0,0,1,0,"6, 8","Facultative"
"1023","Tillandsia minutiflora","Online","Tillandsia","minutiflora","Bromeliaceae","Angiospermae","Epiphyte",0,0,0,0,1,0,0,1,0,1,1,0,1,"3, 5, 21, 23","Epiphyte"
"1024","Tillandsia mollis","Online","Tillandsia","mollis","Bromeliaceae","Angiospermae","Epiphyte",0,0,0,0,1,0,0,1,0,1,0,0,0,"4","Epiphyte"
"1025","Tillandsia myosura","Online, Paper","Tillandsia","myosura","Bromeliaceae","Angiospermae","Epiphyte",0,0,0,0,1,0,0,1,0,1,0,0,0,"3, 5, 21, 23","Epiphyte"
"1026","Tillandsia paraensis","Online","Tillandsia","paraensis","Bromeliaceae","Angiospermae","Epiphyte",1,0,0,0,0,1,1,0,0,0,0,1,0,"1, 8, 10","Epiphyte"
"1027","Tillandsia parvispica","Online","Tillandsia","parvispica","Bromeliaceae","Angiospermae","Epiphyte",1,0,0,0,0,1,1,0,0,0,0,1,0,"8, 10, 17","Epiphyte"
"1028","Tillandsia peiranoi","Online","Tillandsia","peiranoi","Bromeliaceae","Angiospermae","Epiphyte",0,0,0,0,1,0,0,1,0,1,0,0,0,"3, 5","Epiphyte"
"1029","Tillandsia pohliana","Online, Paper","Tillandsia","pohliana","Bromeliaceae","Angiospermae","Epiphyte",1,0,1,0,0,1,1,1,1,1,0,1,0,"1, 5, 6, 8, 9, 10, 11, 12, 17, 18","Facultative"
"1030","Tillandsia polystachia","Online, Paper","Tillandsia","polystachia","Bromeliaceae","Angiospermae","Epiphyte",1,0,1,0,0,1,1,0,0,0,0,1,0,"1, 6, 8, 9, 10, 13, 14, 15","Facultative"
"1031","Tillandsia porongoensis","Online","Tillandsia","porongoensis","Bromeliaceae","Angiospermae","Epiphyte",0,0,0,0,1,0,0,1,0,1,0,0,0,"5","Epiphyte"
"1032","Tillandsia ramellae","Online","Tillandsia","ramellae","Bromeliaceae","Angiospermae","Epiphyte",0,0,0,0,1,0,0,1,0,0,0,0,1,"5","Epiphyte"
"1033","Tillandsia rectangula","Online, Paper","Tillandsia","rectangula","Bromeliaceae","Angiospermae","Epiphyte",0,0,0,0,1,0,0,1,0,1,0,0,0,"5, 21","Epiphyte"
"1034","Tillandsia recurvata","Online, Paper","Tillandsia","recurvata","Bromeliaceae","Angiospermae","Epiphyte",1,0,1,0,0,1,1,1,0,1,1,1,1,"1, 3, 5, 6, 8, 9, 10, 12, 13, 14, 15, 18, 19, 21","Facultative"
"1035","Tillandsia recurvifolia","Online, Paper","Tillandsia","recurvifolia","Bromeliaceae","Angiospermae","Epiphyte",1,0,1,0,0,1,1,1,0,1,0,1,1,"1, 3, 5, 8, 10, 12, 19, 21","Facultative"
"1036","Tillandsia reichenbachii","Online, Paper","Tillandsia","reichenbachii","Bromeliaceae","Angiospermae","Epiphyte",0,0,0,0,1,0,0,1,0,1,1,0,1,"3, 5, 12","Epiphyte"
"1037","Tillandsia retorta","Online, Paper","Tillandsia","retorta","Bromeliaceae","Angiospermae","Epiphyte",0,0,0,0,1,0,0,1,0,1,0,0,0,"3, 5, 21, 23","Epiphyte"
"1038","Tillandsia sp.","Paper","Tillandsia",NA,"Bromeliaceae","Angiospermae",NA,0,0,0,0,0,1,0,0,0,0,0,1,0,"8",NA
"1039","Tillandsia sprengeliana","Online","Tillandsia","sprengeliana","Bromeliaceae","Angiospermae","Epiphyte",1,0,1,0,0,1,0,0,0,0,0,1,0,"6, 8, 10","Facultative"
"1040","Tillandsia streptocarpa","Online, Paper","Tillandsia","streptocarpa","Bromeliaceae","Angiospermae","Epiphyte",1,0,1,0,0,1,1,1,1,1,1,1,1,"1, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 17, 18, 20","Facultative"
"1041","Tillandsia stricta","Online, Paper","Tillandsia","stricta","Bromeliaceae","Angiospermae","Epiphyte",1,0,1,0,0,1,1,1,0,0,0,1,1,"1, 6, 8, 9, 10, 12, 13, 14, 15","Facultative"
"1042","Tillandsia suratii","Online","Tillandsia","suratii","Bromeliaceae","Angiospermae","Missing",1,0,0,0,0,0,0,1,0,1,0,0,0,"12","Epiphyte (local database)"
"1043","Tillandsia tenebra","Online","Tillandsia","tenebra","Bromeliaceae","Angiospermae","Epiphyte",0,0,0,0,1,0,0,1,0,1,0,0,0,"5","Epiphyte"
"1044","Tillandsia tenuifolia","Online, Paper","Tillandsia","tenuifolia","Bromeliaceae","Angiospermae","Epiphyte",1,0,1,0,0,1,1,1,1,1,0,1,1,"1, 3, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 18, 23","Facultative"
"1045","Tillandsia tricholepis","Online, Paper","Tillandsia","tricholepis","Bromeliaceae","Angiospermae","Epiphyte",1,0,0,0,0,1,1,1,1,1,1,1,1,"1, 3, 5, 6, 8, 11, 12, 18, 19, 21, 23","Epiphyte"
"1046","Tillandsia usneoides","Online, Paper","Tillandsia","usneoides","Bromeliaceae","Angiospermae","Epiphyte",1,0,0,0,0,1,1,1,0,1,0,1,1,"1, 3, 4, 5, 6, 8, 9, 10, 12, 13, 14, 15, 21, 23","Epiphyte"
"1047","Tillandsia variabilis","Online","Tillandsia","variabilis","Bromeliaceae","Angiospermae","Epiphyte",0,0,0,0,1,0,0,0,1,0,0,1,0,"7","Epiphyte"
"1048","Tillandsia xiphioides","Online, Paper","Tillandsia","xiphioides","Bromeliaceae","Angiospermae","Epiphyte",0,0,1,0,0,0,0,1,0,1,0,0,0,"3, 5, 21, 23","Facultative"
"1049","Tradescantia sp.","Paper","Tradescantia",NA,"Commelinaceae","Angiospermae",NA,0,0,0,0,0,0,1,0,0,0,0,1,0,"1",NA
"1050","Trichocentrum albococcineum","Online, Paper","Trichocentrum","albococcineum","Orchidaceae","Angiospermae","Epiphyte",1,0,0,0,0,0,1,0,0,0,0,1,0,"1","Epiphyte"
"1051","Trichocentrum cepula","Online, Paper","Trichocentrum","cepula","Orchidaceae","Angiospermae","Epiphyte",1,0,0,0,0,1,1,1,1,1,0,1,1,"1, 2, 7, 8, 10, 11, 12, 13, 17, 19, 24","Epiphyte"
"1052","Trichocentrum fuscum","Online, Paper","Trichocentrum","fuscum","Orchidaceae","Angiospermae","Epiphyte",1,0,0,0,0,1,1,0,1,0,0,1,0,"1, 7, 8, 13","Epiphyte"
"1053","Trichocentrum jonesianum","Online","Trichocentrum","jonesianum","Orchidaceae","Angiospermae","Epiphyte",1,0,0,0,0,0,1,1,1,0,0,1,1,"1, 7, 10, 12","Epiphyte"
"1054","Trichocentrum morenoi","Online, Paper","Trichocentrum","morenoi","Orchidaceae","Angiospermae","Epiphyte",1,0,0,0,0,0,1,1,1,0,0,1,1,"1, 2, 5, 7","Epiphyte"
"1055","Trichocentrum nanum","Online, Paper","Trichocentrum","nanum","Orchidaceae","Angiospermae","Epiphyte",1,0,0,0,0,0,1,0,0,0,0,1,0,"1","Epiphyte"
"1056","Trichocentrum pumilum","Online, Paper","Trichocentrum","pumilum","Orchidaceae","Angiospermae","Epiphyte",1,0,0,0,0,1,1,1,0,1,0,1,1,"1, 6, 8, 12, 18, 19, 20","Epiphyte"
"1057","Trichocentrum sprucei","Online","Trichocentrum","sprucei","Orchidaceae","Angiospermae","Epiphyte",1,0,0,0,0,1,1,0,1,0,0,1,0,"1, 2, 7, 8","Epiphyte"
