releve_records,TITLE,LITERATURE,YEAR,TAX_SCOPE,SAMPLING_METHOD,QUANT_METHOD,SPECIES,GENERA,EPITHET,FAMILY,PHYLUM,IDENTIFICATION_CONFIDENCE,EPILIST,FLORA,DATASET_CLASSIFICATION,NATURALNESS,INCLUSION_REQUIREMENTS,NUMBER_INDIVIDUALS,SCORE,LONGITUDE,LATITUDE,PRECISION,LIMITS,PHOROPHYTE_FAMILY,PHOROPHYTE_GENUS,PHOROPHYTE_EPITHET,DBH,HEIGHT,OBS.,DOMAIN,COUNTRY,WWF_ECOREGION
11,"A família Orchidaceae em um fragmento de floresta estacional semidecidual no município de Barroso, Minas Gerais, Brasil",Paper,2003,Orchidaceae,Others,Presence,Gomesa gardneri,Gomesa,gardneri,Orchidaceae,Angiospermae,,Epiphyte,Epiphyte,All,Semi-natural,,NA,,-43.976111,-21.186944,Area,Inside,,,,NA,NA,,Cerrado,Brazil,Cerrado
12,"A família Orchidaceae em um fragmento de floresta estacional semidecidual no município de Barroso, Minas Gerais, Brasil",Paper,2003,Orchidaceae,Others,Presence,Gomesa recurva,Gomesa,recurva,Orchidaceae,Angiospermae,,Epiphyte,Epiphyte,All,Semi-natural,,NA,,-43.976111,-21.186944,Area,Inside,,,,NA,NA,,Cerrado,Brazil,Cerrado
13,"A família Orchidaceae em um fragmento de floresta estacional semidecidual no município de Barroso, Minas Gerais, Brasil",Paper,2003,Orchidaceae,Others,Presence,Isochilus linearis,Isochilus,linearis,Orchidaceae,Angiospermae,,Epiphyte,Epiphyte,All,Semi-natural,,NA,,-43.976111,-21.186944,Area,Inside,,,,NA,NA,,Cerrado,Brazil,Cerrado
14,"A família Orchidaceae em um fragmento de floresta estacional semidecidual no município de Barroso, Minas Gerais, Brasil",Paper,2003,Orchidaceae,Others,Presence,Notylia sagittifera,Notylia,sagittifera,Orchidaceae,Angiospermae,aff.,Epiphyte,Epiphyte,All,Semi-natural,,NA,,-43.976111,-21.186944,Area,Inside,,,,NA,NA,,Cerrado,Brazil,Cerrado
15,"A família Orchidaceae em um fragmento de floresta estacional semidecidual no município de Barroso, Minas Gerais, Brasil",Paper,2003,Orchidaceae,Others,Presence,Polystachya concreta,Polystachya,concreta,Orchidaceae,Angiospermae,,Epiphyte,Epiphyte; Rupicolous,All,Semi-natural,,NA,,-43.976111,-21.186944,Area,Inside,,,,NA,NA,,Cerrado,Brazil,Cerrado
16,"A família Orchidaceae em um fragmento de floresta estacional semidecidual no município de Barroso, Minas Gerais, Brasil",Paper,2003,Orchidaceae,Others,Presence,Polystachya foliosa,Polystachya,foliosa,Orchidaceae,Angiospermae,,Epiphyte,Epiphyte; Rupicolous,All,Semi-natural,,NA,,-43.976111,-21.186944,Area,Inside,,,,NA,NA,,Cerrado,Brazil,Cerrado
17,"A família Orchidaceae em um fragmento de floresta estacional semidecidual no município de Barroso, Minas Gerais, Brasil",Paper,2003,Orchidaceae,Others,Presence,Trichocentrum pumilum,Trichocentrum,pumilum,Orchidaceae,Angiospermae,,Epiphyte,Epiphyte,All,Semi-natural,,NA,,-43.976111,-21.186944,Area,Inside,,,,NA,NA,,Cerrado,Brazil,Cerrado
18,A importância da palmeira Syagrus coronata (Mart.) Beec. para a conservação da riqueza e diversidade de espécies epífitas vasculares na Caatinga,Paper,2016,All,Others,Abundance, ,,,Pteridaceae,Lycophytes; Ferns,morpho,NA,NA,Paper exclusive,Semi-natural,,1,,-37.2471,-8.5483,Area,Inside,Arecaceae,Syagrus,coronata,NA,NA,Epiphyte species abundance among 50 Syagrus coronata (reproductive ones) and 50 tree individuals (DSH > 3 cm) from other species. The results were not by individual phorophyte. ,Caatinga,Brazil,Caatinga
19,A importância da palmeira Syagrus coronata (Mart.) Beec. para a conservação da riqueza e diversidade de espécies epífitas vasculares na Caatinga,Paper,2016,All,Others,Abundance,Aechmea leptantha,Aechmea,leptantha,Bromeliaceae,Angiospermae,,Epiphyte,Epiphyte; Rupicolous; Terrestrial,All,Semi-natural,,10,,-37.2471,-8.5483,Area,Inside,Arecaceae,Syagrus,coronata,NA,NA,Epiphyte species abundance among 50 Syagrus coronata (reproductive ones) and 50 tree individuals (DSH > 3 cm) from other species. The results were not by individual phorophyte. ,Caatinga,Brazil,Caatinga
20,A importância da palmeira Syagrus coronata (Mart.) Beec. para a conservação da riqueza e diversidade de espécies epífitas vasculares na Caatinga,Paper,2016,All,Others,Abundance,Anthurium sp.1,Anthurium,sp.1,Araceae,Angiospermae,morpho,NA,NA,Paper exclusive,Semi-natural,,3,,-37.2471,-8.5483,Area,Inside,Arecaceae,Syagrus,coronata,NA,NA,Epiphyte species abundance among 50 Syagrus coronata (reproductive ones) and 50 tree individuals (DSH > 3 cm) from other species. The results were not by individual phorophyte. ,Caatinga,Brazil,Caatinga
21,A importância da palmeira Syagrus coronata (Mart.) Beec. para a conservação da riqueza e diversidade de espécies epífitas vasculares na Caatinga,Paper,2016,All,Others,Abundance,Begonia sp.,Begonia,sp.,Begoniaceae,Angiospermae,morpho,NA,NA,Paper exclusive,Semi-natural,,4,,-37.2471,-8.5483,Area,Inside,Arecaceae,Syagrus,coronata,NA,NA,Epiphyte species abundance among 50 Syagrus coronata (reproductive ones) and 50 tree individuals (DSH > 3 cm) from other species. The results were not by individual phorophyte. ,Caatinga,Brazil,Caatinga
22,A importância da palmeira Syagrus coronata (Mart.) Beec. para a conservação da riqueza e diversidade de espécies epífitas vasculares na Caatinga,Paper,2016,All,Others,Abundance,Billbergia porteana,Billbergia,porteana,Bromeliaceae,Angiospermae,,Epiphyte,Epiphyte; Rupicolous,All,Semi-natural,,38,,-37.2471,-8.5483,Area,Inside,Arecaceae,Syagrus,coronata,NA,NA,Epiphyte species abundance among 50 Syagrus coronata (reproductive ones) and 50 tree individuals (DSH > 3 cm) from other species. The results were not by individual phorophyte. ,Caatinga,Brazil,Caatinga
23,A importância da palmeira Syagrus coronata (Mart.) Beec. para a conservação da riqueza e diversidade de espécies epífitas vasculares na Caatinga,Paper,2016,All,Others,Abundance,Catasetum purum,Catasetum,purum,Orchidaceae,Angiospermae,,Epiphyte,Epiphyte,All,Semi-natural,,75,,-37.2471,-8.5483,Area,Inside,Arecaceae,Syagrus,coronata,NA,NA,Epiphyte species abundance among 50 Syagrus coronata (reproductive ones) and 50 tree individuals (DSH > 3 cm) from other species. The results were not by individual phorophyte. ,Caatinga,Brazil,Caatinga
24,A importância da palmeira Syagrus coronata (Mart.) Beec. para a conservação da riqueza e diversidade de espécies epífitas vasculares na Caatinga,Paper,2016,All,Others,Abundance,Peperomia sp.4,Peperomia,sp.4,Piperaceae,Angiospermae,morpho,NA,NA,Paper exclusive,Semi-natural,,1,,-37.2471,-8.5483,Area,Inside,Arecaceae,Syagrus,coronata,NA,NA,Epiphyte species abundance among 50 Syagrus coronata (reproductive ones) and 50 tree individuals (DSH > 3 cm) from other species. The results were not by individual phorophyte. ,Caatinga,Brazil,Caatinga
25,A importância da palmeira Syagrus coronata (Mart.) Beec. para a conservação da riqueza e diversidade de espécies epífitas vasculares na Caatinga,Paper,2016,All,Others,Abundance,Philodendron acutatum,Philodendron,acutatum,Araceae,Angiospermae,,Unclassified,Hemiepiphyte; Rupicolous; Terrestrial,All,Semi-natural,,3,,-37.2471,-8.5483,Area,Inside,Arecaceae,Syagrus,coronata,NA,NA,Epiphyte species abundance among 50 Syagrus coronata (reproductive ones) and 50 tree individuals (DSH > 3 cm) from other species. The results were not by individual phorophyte. ,Caatinga,Brazil,Caatinga
26,A importância da palmeira Syagrus coronata (Mart.) Beec. para a conservação da riqueza e diversidade de espécies epífitas vasculares na Caatinga,Paper,2016,All,Others,Abundance,Philodendron acutatum,Philodendron,acutatum,Araceae,Angiospermae,,Unclassified,Hemiepiphyte; Rupicolous; Terrestrial,All,Semi-natural,DAG > 3 cm,1,,-37.2471,-8.5483,Area,Inside,,,,NA,NA,Epiphyte species abundance among 50 Syagrus coronata (reproductive ones) and 50 tree individuals (DSH > 3 cm) from other species. The results were not by individual phorophyte. ,Caatinga,Brazil,Caatinga
27,A importância da palmeira Syagrus coronata (Mart.) Beec. para a conservação da riqueza e diversidade de espécies epífitas vasculares na Caatinga,Paper,2016,All,Others,Abundance,Pleopeltis burchellii,Pleopeltis,burchellii,Polypodiaceae,Lycophytes; Ferns,,Unclassified,Epiphyte,All,Semi-natural,,3,,-37.2471,-8.5483,Area,Inside,Arecaceae,Syagrus,coronata,NA,NA,Epiphyte species abundance among 50 Syagrus coronata (reproductive ones) and 50 tree individuals (DSH > 3 cm) from other species. The results were not by individual phorophyte. ,Caatinga,Brazil,Caatinga
28,A importância da palmeira Syagrus coronata (Mart.) Beec. para a conservação da riqueza e diversidade de espécies epífitas vasculares na Caatinga,Paper,2016,All,Others,Abundance,Tillandsia loliacea,Tillandsia,loliacea,Bromeliaceae,Angiospermae,,Epiphyte,Epiphyte; Rupicolous,All,Semi-natural,,2,,-37.2471,-8.5483,Area,Inside,Arecaceae,Syagrus,coronata,NA,NA,Epiphyte species abundance among 50 Syagrus coronata (reproductive ones) and 50 tree individuals (DSH > 3 cm) from other species. The results were not by individual phorophyte. ,Caatinga,Brazil,Caatinga
29,A importância da palmeira Syagrus coronata (Mart.) Beec. para a conservação da riqueza e diversidade de espécies epífitas vasculares na Caatinga,Paper,2016,All,Others,Abundance,Tillandsia loliacea,Tillandsia,loliacea,Bromeliaceae,Angiospermae,,Epiphyte,Epiphyte; Rupicolous,All,Semi-natural,DAG > 3 cm,2,,-37.2471,-8.5483,Area,Inside,,,,NA,NA,Epiphyte species abundance among 50 Syagrus coronata (reproductive ones) and 50 tree individuals (DSH > 3 cm) from other species. The results were not by individual phorophyte. ,Caatinga,Brazil,Caatinga
30,A importância da palmeira Syagrus coronata (Mart.) Beec. para a conservação da riqueza e diversidade de espécies epífitas vasculares na Caatinga,Paper,2016,All,Others,Abundance,Tillandsia recurvata,Tillandsia,recurvata,Bromeliaceae,Angiospermae,,Epiphyte,Epiphyte; Rupicolous,All,Semi-natural,DAG > 3 cm,543,,-37.2471,-8.5483,Area,Inside,,,,NA,NA,Epiphyte species abundance among 50 Syagrus coronata (reproductive ones) and 50 tree individuals (DSH > 3 cm) from other species. The results were not by individual phorophyte. ,Caatinga,Brazil,Caatinga
31,A importância da palmeira Syagrus coronata (Mart.) Beec. para a conservação da riqueza e diversidade de espécies epífitas vasculares na Caatinga,Paper,2016,All,Others,Abundance,Tillandsia recurvata,Tillandsia,recurvata,Bromeliaceae,Angiospermae,,Epiphyte,Epiphyte; Rupicolous,All,Semi-natural,,25,,-37.2471,-8.5483,Area,Inside,Arecaceae,Syagrus,coronata,NA,NA,Epiphyte species abundance among 50 Syagrus coronata (reproductive ones) and 50 tree individuals (DSH > 3 cm) from other species. The results were not by individual phorophyte. ,Caatinga,Brazil,Caatinga
32,A importância da palmeira Syagrus coronata (Mart.) Beec. para a conservação da riqueza e diversidade de espécies epífitas vasculares na Caatinga,Paper,2016,All,Others,Abundance,Tillandsia streptocarpa,Tillandsia,streptocarpa,Bromeliaceae,Angiospermae,,Epiphyte,Epiphyte; Rupicolous,All,Semi-natural,DAG > 3 cm,7,,-37.2471,-8.5483,Area,Inside,,,,NA,NA,Epiphyte species abundance among 50 Syagrus coronata (reproductive ones) and 50 tree individuals (DSH > 3 cm) from other species. The results were not by individual phorophyte. ,Caatinga,Brazil,Caatinga
33,A importância da palmeira Syagrus coronata (Mart.) Beec. para a conservação da riqueza e diversidade de espécies epífitas vasculares na Caatinga,Paper,2016,All,Others,Abundance,Vanilla palmarum,Vanilla,palmarum,Orchidaceae,Angiospermae,,Epiphyte,Hemiepiphyte,All,Semi-natural,,24,,-37.2471,-8.5483,Area,Inside,Arecaceae,Syagrus,coronata,NA,NA,Epiphyte species abundance among 50 Syagrus coronata (reproductive ones) and 50 tree individuals (DSH > 3 cm) from other species. The results were not by individual phorophyte. ,Caatinga,Brazil,Caatinga
34,Adaptive response of extreme epiphyte Tillandsia species (Bromeliaceae) is demonstrated by different sexual reproduction strategies in the Brazilian Chaco,Paper,2013,Bromeliaceae,Others,Presence,Tillandsia duratii,Tillandsia,duratii,Bromeliaceae,Angiospermae,,Epiphyte,Epiphyte,All,Natural,,NA,,-57.75,-21.68333333,Area,Inside,,,,NA,NA,,Cerrado,Brazil,Cerrado
35,Adaptive response of extreme epiphyte Tillandsia species (Bromeliaceae) is demonstrated by different sexual reproduction strategies in the Brazilian Chaco,Paper,2013,Bromeliaceae,Others,Presence,Tillandsia loliacea,Tillandsia,loliacea,Bromeliaceae,Angiospermae,,Epiphyte,Epiphyte; Rupicolous,All,Natural,,NA,,-57.75,-21.68333333,Area,Inside,,,,NA,NA,,Cerrado,Brazil,Cerrado
36,Adaptive response of extreme epiphyte Tillandsia species (Bromeliaceae) is demonstrated by different sexual reproduction strategies in the Brazilian Chaco,Paper,2013,Bromeliaceae,Others,Presence,Tillandsia recurvifolia,Tillandsia,recurvifolia,Bromeliaceae,Angiospermae,,Epiphyte,Epiphyte; Rupicolous,All,Natural,,NA,,-57.75,-21.68333333,Area,Inside,,,,NA,NA,,Cerrado,Brazil,Cerrado
37,"Anatomia foliar de bromélias ocorrentes em áreas de cerrado do Estado de São Paulo, Brasil",Paper,2007,Bromeliaceae,Others,Presence,Billbergia distachia,Billbergia,distachia,Bromeliaceae,Angiospermae,,Epiphyte,Epiphyte; Terrestrial,All,Natural,,NA,,-46.9422,-22.3722,Area,Inside,,,,NA,NA,,Cerrado,Brazil,Cerrado
38,"Anatomia foliar de bromélias ocorrentes em áreas de cerrado do Estado de São Paulo, Brasil",Paper,2007,Bromeliaceae,Others,Presence,Billbergia distachia,Billbergia,distachia,Bromeliaceae,Angiospermae,,Epiphyte,Epiphyte; Terrestrial,All,Natural,,NA,,-46.931525,-22.307362,Area,Inside,,,,NA,NA,,Cerrado,Brazil,Cerrado
39,"Anatomia foliar de bromélias ocorrentes em áreas de cerrado do Estado de São Paulo, Brasil",Paper,2007,Bromeliaceae,Others,Presence,Billbergia porteana,Billbergia,porteana,Bromeliaceae,Angiospermae,,Epiphyte,Epiphyte; Rupicolous,All,Natural,,NA,,-46.9422,-22.3722,Area,Inside,,,,NA,NA,,Cerrado,Brazil,Cerrado
40,"Anatomia foliar de bromélias ocorrentes em áreas de cerrado do Estado de São Paulo, Brasil",Paper,2007,Bromeliaceae,Others,Presence,Billbergia porteana,Billbergia,porteana,Bromeliaceae,Angiospermae,,Epiphyte,Epiphyte; Rupicolous,All,Natural,,NA,,-46.931525,-22.307362,Area,Inside,,,,NA,NA,,Cerrado,Brazil,Cerrado
41,"Anatomia foliar de bromélias ocorrentes em áreas de cerrado do Estado de São Paulo, Brasil",Paper,2007,Bromeliaceae,Others,Presence,Bromelia balansae,Bromelia,balansae,Bromeliaceae,Angiospermae,,Unclassified,Terrestrial,Paper exclusive accidental,Natural,,NA,,-47.82633,-22.2504,Area,Inside,,,,NA,NA,,Cerrado,Brazil,Cerrado
42,"Anatomia foliar de bromélias ocorrentes em áreas de cerrado do Estado de São Paulo, Brasil",Paper,2007,Bromeliaceae,Others,Presence,Bromelia balansae,Bromelia,balansae,Bromeliaceae,Angiospermae,,Unclassified,Terrestrial,Paper exclusive accidental,Natural,,NA,,-46.931525,-22.307362,Area,Inside,,,,NA,NA,,Cerrado,Brazil,Cerrado
43,"Anatomia foliar de bromélias ocorrentes em áreas de cerrado do Estado de São Paulo, Brasil",Paper,2007,Bromeliaceae,Others,Presence,Dyckia tuberosa,Dyckia,tuberosa,Bromeliaceae,Angiospermae,,Unclassified,Rupicolous; Terrestrial,Paper exclusive accidental,Natural,,NA,,-47.82633,-22.2504,Area,Inside,,,,NA,NA,,Cerrado,Brazil,Cerrado
44,"Anatomia foliar de bromélias ocorrentes em áreas de cerrado do Estado de São Paulo, Brasil",Paper,2007,Bromeliaceae,Others,Presence,Tillandsia loliacea,Tillandsia,loliacea,Bromeliaceae,Angiospermae,,Epiphyte,Epiphyte; Rupicolous,All,Natural,,NA,,-47.6333,-22.2333,Area,Inside,,,,NA,NA,,Cerrado,Brazil,Cerrado
45,"Anatomia foliar de bromélias ocorrentes em áreas de cerrado do Estado de São Paulo, Brasil",Paper,2007,Bromeliaceae,Others,Presence,Tillandsia loliacea,Tillandsia,loliacea,Bromeliaceae,Angiospermae,,Epiphyte,Epiphyte; Rupicolous,All,Natural,,NA,,-48.439383,-22.861215,Area,Inside,,,,NA,NA,,Cerrado,Brazil,Cerrado
46,"Anatomia foliar de bromélias ocorrentes em áreas de cerrado do Estado de São Paulo, Brasil",Paper,2007,Bromeliaceae,Others,Presence,Tillandsia pohliana,Tillandsia,pohliana,Bromeliaceae,Angiospermae,,Epiphyte,Epiphyte; Rupicolous,All,Natural,,NA,,-46.9422,-22.3722,Area,Inside,,,,NA,NA,,Cerrado,Brazil,Cerrado
47,"Anatomia foliar de bromélias ocorrentes em áreas de cerrado do Estado de São Paulo, Brasil",Paper,2007,Bromeliaceae,Others,Presence,Tillandsia pohliana,Tillandsia,pohliana,Bromeliaceae,Angiospermae,,Epiphyte,Epiphyte; Rupicolous,All,Natural,,NA,,-46.931525,-22.307362,Area,Inside,,,,NA,NA,,Cerrado,Brazil,Cerrado
48,"Anatomia foliar de bromélias ocorrentes em áreas de cerrado do Estado de São Paulo, Brasil",Paper,2007,Bromeliaceae,Others,Presence,Tillandsia recurvata,Tillandsia,recurvata,Bromeliaceae,Angiospermae,,Epiphyte,Epiphyte; Rupicolous,All,Natural,,NA,,-46.931525,-22.307362,Area,Inside,,,,NA,NA,,Cerrado,Brazil,Cerrado
49,"Anatomia foliar de bromélias ocorrentes em áreas de cerrado do Estado de São Paulo, Brasil",Paper,2007,Bromeliaceae,Others,Presence,Tillandsia recurvata,Tillandsia,recurvata,Bromeliaceae,Angiospermae,,Epiphyte,Epiphyte; Rupicolous,All,Natural,,NA,,-47.8228,-22.2528,Area,Inside,,,,NA,NA,,Cerrado,Brazil,Cerrado
50,"Anatomia foliar de bromélias ocorrentes em áreas de cerrado do Estado de São Paulo, Brasil",Paper,2007,Bromeliaceae,Others,Presence,Tillandsia recurvata,Tillandsia,recurvata,Bromeliaceae,Angiospermae,,Epiphyte,Epiphyte; Rupicolous,All,Natural,,NA,,-47.82633,-22.2504,Area,Inside,,,,NA,NA,,Cerrado,Brazil,Cerrado
51,"Anatomia foliar de bromélias ocorrentes em áreas de cerrado do Estado de São Paulo, Brasil",Paper,2007,Bromeliaceae,Others,Presence,Tillandsia recurvata,Tillandsia,recurvata,Bromeliaceae,Angiospermae,,Epiphyte,Epiphyte; Rupicolous,All,Natural,,NA,,-46.9422,-22.3722,Area,Inside,,,,NA,NA,,Cerrado,Brazil,Cerrado
52,"Anatomia foliar de bromélias ocorrentes em áreas de cerrado do Estado de São Paulo, Brasil",Paper,2007,Bromeliaceae,Others,Presence,Tillandsia tenuifolia,Tillandsia,tenuifolia,Bromeliaceae,Angiospermae,,Epiphyte,Epiphyte; Rupicolous,All,Natural,,NA,,-46.931525,-22.307362,Area,Inside,,,,NA,NA,,Cerrado,Brazil,Cerrado
53,"Anatomia foliar de bromélias ocorrentes em áreas de cerrado do Estado de São Paulo, Brasil",Paper,2007,Bromeliaceae,Others,Presence,Tillandsia tenuifolia,Tillandsia,tenuifolia,Bromeliaceae,Angiospermae,,Epiphyte,Epiphyte; Rupicolous,All,Natural,,NA,,-46.9422,-22.3722,Area,Inside,,,,NA,NA,,Cerrado,Brazil,Cerrado
54,"Anatomia foliar de bromélias ocorrentes em áreas de cerrado do Estado de São Paulo, Brasil",Paper,2007,Bromeliaceae,Others,Presence,Tillandsia tricholepis,Tillandsia,tricholepis,Bromeliaceae,Angiospermae,,Epiphyte,Epiphyte,All,Natural,,NA,,-47.82633,-22.2504,Area,Inside,,,,NA,NA,,Cerrado,Brazil,Cerrado
55,"Anatomia foliar de bromélias ocorrentes em áreas de cerrado do Estado de São Paulo, Brasil",Paper,2007,Bromeliaceae,Others,Presence,Tillandsia tricholepis,Tillandsia,tricholepis,Bromeliaceae,Angiospermae,,Epiphyte,Epiphyte,All,Natural,,NA,,-47.8228,-22.2528,Area,Inside,,,,NA,NA,,Cerrado,Brazil,Cerrado
56,"Anatomia foliar de bromélias ocorrentes em áreas de cerrado do Estado de São Paulo, Brasil",Paper,2007,Bromeliaceae,Others,Presence,Tillandsia tricholepis,Tillandsia,tricholepis,Bromeliaceae,Angiospermae,,Epiphyte,Epiphyte,All,Natural,,NA,,-48.439383,-22.861215,Area,Inside,,,,NA,NA,,Cerrado,Brazil,Cerrado
57,"Anatomia foliar de bromélias ocorrentes em áreas de cerrado do Estado de São Paulo, Brasil",Paper,2007,Bromeliaceae,Others,Presence,Tillandsia usneoides,Tillandsia,usneoides,Bromeliaceae,Angiospermae,,Epiphyte,Epiphyte,All,Natural,,NA,,-47.8228,-22.2528,Area,Inside,,,,NA,NA,,Cerrado,Brazil,Cerrado
58,"Anatomia foliar de bromélias ocorrentes em áreas de cerrado do Estado de São Paulo, Brasil",Paper,2007,Bromeliaceae,Others,Presence,Tillandsia usneoides,Tillandsia,usneoides,Bromeliaceae,Angiospermae,,Epiphyte,Epiphyte,All,Natural,,NA,,-47.82633,-22.2504,Area,Inside,,,,NA,NA,,Cerrado,Brazil,Cerrado
59,"Anatomia foliar de bromélias ocorrentes em áreas de cerrado do Estado de São Paulo, Brasil",Paper,2007,Bromeliaceae,Others,Presence,Vriesea sp.,Vriesea,sp.,Bromeliaceae,Angiospermae,morpho,NA,NA,Paper exclusive,Natural,,NA,,-47.82633,-22.2504,Area,Inside,,,,NA,NA,,Cerrado,Brazil,Cerrado
60,"Anatomia foliar de bromélias ocorrentes em áreas de cerrado do Estado de São Paulo, Brasil",Paper,2007,Bromeliaceae,Others,Presence,Vriesea sp.,Vriesea,sp.,Bromeliaceae,Angiospermae,morpho,NA,NA,Paper exclusive,Natural,,NA,,-47.8228,-22.2528,Area,Inside,,,,NA,NA,,Cerrado,Brazil,Cerrado
61,Angiospermas epífitas do acuri (Attalea phalerata (Mart. ex Spreng.) Burret) na Fazenda Pareia – Mato Grosso – Brasil,Paper,2012,Angio,Plot,Presence,Billbergia meyeri,Billbergia,meyeri,Bromeliaceae,Angiospermae,,Epiphyte,Epiphyte,All,Natural,,NA,,-56.93666667,-15.12083333,,Inside,Arecaceae,Attalea,phalerata,NA,NA,,Cerrado,Brazil,Cerrado
62,Angiospermas epífitas do acuri (Attalea phalerata (Mart. ex Spreng.) Burret) na Fazenda Pareia – Mato Grosso – Brasil,Paper,2012,Angio,Plot,Presence,Catasetum fimbriatum,Catasetum,fimbriatum,Orchidaceae,Angiospermae,,Epiphyte,Epiphyte,All,Natural,,NA,,-56.93666667,-15.12083333,,Inside,Arecaceae,Attalea,phalerata,NA,NA,,Cerrado,Brazil,Cerrado
63,Angiospermas epífitas do acuri (Attalea phalerata (Mart. ex Spreng.) Burret) na Fazenda Pareia – Mato Grosso – Brasil,Paper,2012,Angio,Plot,Presence,Croton sp.4,Croton,sp.4,Euphorbiaceae,Angiospermae,morpho,NA,NA,Paper exclusive,Natural,,NA,,-56.93666667,-15.12083333,,Inside,Arecaceae,Attalea,phalerata,NA,NA,,Cerrado,Brazil,Cerrado
